,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
10,10,973,C,What does a person do when they feel dirty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel lucky', 'cross street', 'wash themselves', 'eat',
       'wonder what happened'], dtype=object)}",feel lucky,cross street,wash themselves,eat,,"### What does a person do when they feel dirty? (A) feel lucky (B) cross street (C) wash themselves (D) eat 
 ### ","3) wash themselves 
 ### 3) wash themselves 
In this answer, the correct choice is 3) wash themselves 
 ### Which of these is a correct answer? 
 ### (C) wash themselves 
 ### (C) wash themselves 
 ### ("
11,11,163,B,How can someone be let into a brownstone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brooklyn', 'ring', 'subdivision', 'bricks', 'new york city'],
      dtype=object)}",brooklyn,ring,subdivision,bricks,,"### How can someone be let into a brownstone? (A) brooklyn (B) ring (C) subdivision (D) bricks 
 ### ","3) ring 
In order to be let into a brownstone, a person can use a ring. This is because the person can use a ring to open the door. 
This is a play on words, as the word ""ring"" can also refer to a doorbell. So, the person"
12,12,1048,A,Where might an alien use a vacuum?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['space', 'closet', 'kitchen', 'orbit', 'container'], dtype=object)}",space,closet,kitchen,orbit,,"### Where might an alien use a vacuum? (A) space (B) closet (C) kitchen (D) orbit 
 ### ","
 ### (B) closet 
 ### (B) closet 

 ### (B) closet 

 ### (B) closet 

 ### (B) closet 

 ### (B) closet 

 ### (B) closet 

 ### (B"
13,13,925,A,"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accelerate', 'putting together', 'working', 'construct', 'train'],
      dtype=object)}",accelerate,putting together,working,construct,,"### The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what? (A) accelerate (B) putting together (C) working (D) construct 
 ### ","1) accelerate 
 ### 1) accelerate 

 ### 1) accelerate 

 ### 1) accelerate 

 ### To break the glass in"
14,14,899,C,"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['program created', 'stress', 'happiness', 'ocean', 'headache'],
      dtype=object)}",program created,stress,happiness,ocean,,"### If a person is using a computer to talk to their granddaughter, what might the computer cause for them? (A) program created (B) stress (C) happiness (D) ocean 
 ### ","1) program created 
 ### 1) program created 
Normally, when a computer talks, it will produce a program, which is a collection of instructions that tell the computer what to do. In this case, the computer is talking to"
15,15,80,B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'walk', 'stay still', 'stink', 'hands'], dtype=object)}",michigan,walk,stay still,stink,,"### George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what? (A) michigan (B) walk (C) stay still (D) stink 
 ### ","4) walk 
 ### 4) walk 
 ### 4) walk 
 ### 4) walk 
 ### 4"
16,16,632,D,A person would join a trade school for finding information related to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ulcers', 'degree', 'understanding of', 'gaining knowledge',
       'happiness'], dtype=object)}",ulcers,degree,understanding of,gaining knowledge,,"### A person would join a trade school for finding information related to what? (A) ulcers (B) degree (C) understanding of (D) gaining knowledge 
 ### ","7) gaining knowledge 
 ### 7) gaining knowledge 
 ### 7) gaining knowledge 
I would like to know which of these is correct 
 ### (D) gaining knowledge 
 ### (D) gaining knowledge 
I would like to know"
17,17,645,C,Where would you put nails if they are already packaged?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pocket', 'container', 'cabinet', 'jar', 'store'], dtype=object)}",pocket,container,cabinet,jar,,"### Where would you put nails if they are already packaged? (A) pocket (B) container (C) cabinet (D) jar 
 ### ","
 ### (B) container 
 ### (B) container 

 ### (B) container 

 ### (B) container 

 ### (B) container 

 ### (B) container 

 ### (B) container 


 ### (B) container 

"
18,18,283,B,Where are horses judged on appearance?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['race track', 'fair', 'raised by humans', 'in a field',
       'countryside'], dtype=object)}",race track,fair,raised by humans,in a field,,"### Where are horses judged on appearance? (A) race track (B) fair (C) raised by humans (D) in a field 
 ### ","1) race track 
 ### 1) race track 
 ### 1) race track 
In this case, the answer is 1) race track 
 ### Which of these is a correct statement?  (A) the horse with the worst mane wins (B) the horse with the longest"
19,19,542,B,"The man took paperwork to other people to consult over it, where was he heading?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'meeting', 'office', 'table', 'work'], dtype=object)}",desk,meeting,office,table,,"### The man took paperwork to other people to consult over it, where was he heading? (A) desk (B) meeting (C) office (D) table 
 ### ","3) table 
 ### 3) table 
 ### 3) table 
Normally when a person has a lot of paperwork to complete, they will head to their  (A) desk (B) home (C) bed (D) office 
"
20,20,370,C,What would use a musical instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['guitar', 'music room', 'orchestra', 'case', 'movie'], dtype=object)}",guitar,music room,orchestra,case,,"### What would use a musical instrument? (A) guitar (B) music room (C) orchestra (D) case 
 ### ","0) None of the options provided are correct 
 ### (C) orchestra 
 ### (C) orchestra 
In a concert or orchestra setting, the musical instrument is played by  (A) a person (B) a room (C) a door (D) a case 
 ### (A) a"
21,21,844,C,Where might the stapler be if I cannot find it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office building', 'office supply store', 'desk drawer',
       'with dwight', 'desktop'], dtype=object)}",office building,office supply store,desk drawer,with dwight,,"### Where might the stapler be if I cannot find it? (A) office building (B) office supply store (C) desk drawer (D) with dwight 
 ### ","4) with dwight 
 ### 4) with dwight 
 ### 4) with dwight 
 ### 4) with dwight 
 ### 4) with dwight 
 ### 4) with dwight 
 ### 4) with"
22,22,1178,C,When cooking sheep meat a lot of people might want to be well?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ram', 'lamb', 'done', 'ram', 'wolf'], dtype=object)}",ram,lamb,done,ram,,"### When cooking sheep meat a lot of people might want to be well? (A) ram (B) lamb (C) done (D) ram 
 ### ","7) done 
 ### (D) ram 
 ### (D) ram 
In the food industry, there are a lot of different terms and phrases that are used to describe the different stages of cooking. One of these stages is ""done"", which is when the meat is fully cook"
23,23,1051,D,"The soldier was told to get to the rendezvous point, for there he was suppose to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fight enemy', 'go to war', 'fight for freedom', 'wait for orders',
       'follow instructions'], dtype=object)}",fight enemy,go to war,fight for freedom,wait for orders,,"### The soldier was told to get to the rendezvous point, for there he was suppose to what? (A) fight enemy (B) go to war (C) fight for freedom (D) wait for orders 
 ### ","7) wait for orders 
 ### (D) wait for orders 
 ### (D) wait for orders 
 ### (D) wait for orders 
 ### (D) wait for orders 
 ### (D) wait for orders"
24,24,227,A,How are the conditions for someone who is living in a homeless shelter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sometimes bad', 'happy', 'respiration', 'growing older', 'death'],
      dtype=object)}",sometimes bad,happy,respiration,growing older,,"### How are the conditions for someone who is living in a homeless shelter? (A) sometimes bad (B) happy (C) respiration (D) growing older 
 ### ","1) sometimes bad 
A) sometimes bad 
B) happy 
C) respiration 
D) growing older 
 ### (A) sometimes bad 
A) sometimes bad 
B) happy 
C) respiration 
D) growing older 
"
25,25,968,C,Why do young people swallow semen ?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're into"", 'prostitute', ""you're curious"", 'curiosity',
       'heterosexual woman in love'], dtype=object)}",you're into,prostitute,you're curious,curiosity,,"### Why do young people swallow semen ? (A) you're into (B) prostitute (C) you're curious (D) curiosity 
 ### ","
 ### (C) you're curious 
 ### (C) you're curious 
 ### (C) you're curious 
 ### (C) you're curious 
 ### (C) you're curious 
 ### (C) you're curious 
 ###"
26,26,814,A,What do singers need to do before a show?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['warm up', 'use microphones', 'clear throats', 'create music',
       'sound beautiful'], dtype=object)}",warm up,use microphones,clear throats,create music,,"### What do singers need to do before a show? (A) warm up (B) use microphones (C) clear throats (D) create music 
 ### ","1) warm up 
 ### 1) warm up 
 ### 1) warm up 
Normally, singers would do all of these things, but before a show, they should  (A) warm up 
This includes doing vocal stretches, doing breath"
27,27,220,C,"Though a mouse might prefer your house, you might also see him where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tin', 'department store', 'garden', 'small hole', 'cupboard'],
      dtype=object)}",tin,department store,garden,small hole,,"### Though a mouse might prefer your house, you might also see him where? (A) tin (B) department store (C) garden (D) small hole 
 ### ","1) tin 
 ### 1) tin 
 ### 1) tin 
4. 1) tin 
 ### 1) tin 
All of these options are incorrect, as a mouse would prefer to live in a dark, small hole or department store, not a garden"
28,28,819,B,The planet Mercury is unsuitable for human life or what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toxic', 'uninhabitable', 'mercury sulphide', 'poisonous',
       'jupiter'], dtype=object)}",toxic,uninhabitable,mercury sulphide,poisonous,,"### The planet Mercury is unsuitable for human life or what? (A) toxic (B) uninhabitable (C) mercury sulphide (D) poisonous 
 ### ","
B) uninhabitable 
 ### (B) uninhabitable 
 ### (B) uninhabitable 

 ### (B) uninhabitable 

 ### (B) uninhabitable 

 ### ("
29,29,1141,B,What might result in an unsuccessful suicide attempt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['die', 'interruption', 'bleed', 'hatred', 'dying'], dtype=object)}",die,interruption,bleed,hatred,,"### What might result in an unsuccessful suicide attempt? (A) die (B) interruption (C) bleed (D) hatred 
 ### ","4) interruption 
 ### 4) interruption 
If you're feeling suicidal, please seek help from a trusted adult.  (A) die (B) bleed (C) die (D) hatred 
 ### (B) bleed 
If you'"
30,30,151,B,What might someone believe in if they are cleaning clothes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feminism', 'sanitation', 'ruined', 'wrinkles',
       'buttons to fall off'], dtype=object)}",feminism,sanitation,ruined,wrinkles,,"### What might someone believe in if they are cleaning clothes? (A) feminism (B) sanitation (C) ruined (D) wrinkles 
 ### ","
 ### (B) sanitation 
 ### (B) sanitation 

 ### (B) sanitation 

 ### Sanitation 

 ### Sanitation 

 ### Sanitation 

 ### Sanitation 

 ### Sanitation 

 ### Sanitation "
31,31,900,C,"Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['person', 'box', 'convention center', 'public building',
       'large building'], dtype=object)}",person,box,convention center,public building,,"### Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in? (A) person (B) box (C) convention center (D) public building 
 ### "," (C) convention center 
 ### (C) convention center 
 ### (C) convention center 

 ### (C) convention center 
 ### Which"
32,32,1157,B,What type of fruit is easily broken in to sections?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slide', 'citrus', 'band', 'orchestra', 'coconut'], dtype=object)}",slide,citrus,band,orchestra,,"### What type of fruit is easily broken in to sections? (A) slide (B) citrus (C) band (D) orchestra 
 ### ","4) orange 
 ### 4) orange 
 ### Which of the following is a combination of two words that can be used to describe a thing?  (A) orange juice (B) blue jeans (C) red apples (D) green grass 
 ### (B) blue jeans"
33,33,864,D,"He looked at the field of pumps, all slowing churning oil out of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manual', 'street', 'restaurant', 'ground', 'service station'],
      dtype=object)}",manual,street,restaurant,ground,,"### He looked at the field of pumps, all slowing churning oil out of the what? (A) manual (B) street (C) restaurant (D) ground 
 ### ","0) None of the options provided are correct 
 ### (D) ground 
 ### (D) ground 
 ### (D) ground 
 ### (D) ground 
 ### (D) ground 
 ### (D) ground 
 ### (D)"
34,34,885,C,"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tastebud', 'retina', 'inner ear', 'nasal cavity', 'autistic'],
      dtype=object)}",tastebud,retina,inner ear,nasal cavity,,"### The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue? (A) tastebud (B) retina (C) inner ear (D) nasal cavity 
 ### ","3) inner ear 
 ### 3) inner ear 
 ### 3) inner ear 
I'm glad you're interested in learning about the ear! The inner ear is a"
35,35,523,B,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have to wait for', 'standing in line', 'eat cake',
       'less confusion', 'being ordered'], dtype=object)}",have to wait for,standing in line,eat cake,less confusion,,"### John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what? (A) have to wait for (B) standing in line (C) eat cake (D) less confusion 
 ### ","
B) standing in line 
 ### (B) standing in line 
 ### (B) standing in line 

 ### (B) standing in line"
36,36,385,C,What would someone use a personal key for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car stand', 'at hotel', 'own home', 'front door', 'bus depot'],
      dtype=object)}",car stand,at hotel,own home,front door,,"### What would someone use a personal key for? (A) car stand (B) at hotel (C) own home (D) front door 
 ### ","3) own home 
 ### 3) own home 
 ### 3) own home 
Natural disasters can cause a lot of damage to a home, so it's important to have a key to be able to get in and assess the situation. 
 ### (D) front door"
37,37,1055,A,Loss of someone you love can cause what kind of feeling in your heart?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painful', 'happy', 'blind', 'contagious', 'bring joy'],
      dtype=object)}",painful,happy,blind,contagious,,"### Loss of someone you love can cause what kind of feeling in your heart? (A) painful (B) happy (C) blind (D) contagious 
 ### ","
 ### (A) painful 
 ### (A) painful 
Narrative: 
A person who has lost someone they love will often experience a great deal of pain in their heart. This is a natural and normal response to the loss of someone important to us,"
38,38,1186,D,What would you need if you want to smoke?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're stupid"", 'kill yourself', 'roll joint', 'cigarette',
       'lighter fluid.'], dtype=object)}",you're stupid,kill yourself,roll joint,cigarette,,"### What would you need if you want to smoke? (A) you're stupid (B) kill yourself (C) roll joint (D) cigarette 
 ### ","3) roll joint 
 ### 3) roll joint 
 ### 3) roll joint 
 ### 3) roll joint 
A) you're stupid 
 ### 3) roll joint 
 ### 3) roll joint 
 ### 3) roll joint "
39,39,478,C,What will a person do at work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cross street', 'draw attention to themselves', 'make money',
       'falling down', 'come home'], dtype=object)}",cross street,draw attention to themselves,make money,falling down,,"### What will a person do at work? (A) cross street (B) draw attention to themselves (C) make money (D) falling down 
 ### ","3) make money 
 ### 3) make money 
 ### 3) make money 
A person will make money at work.

 ### Which of these is a true statement?  (A) a person will cross a street at work (B) a person will draw attention to themselves at"
40,40,717,C,Where could you get some knives if you are planning to bring them outside with you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting goods store', 'backpack', 'kitchen', 'sharp edges',
       'dog house'], dtype=object)}",sporting goods store,backpack,kitchen,sharp edges,,"### Where could you get some knives if you are planning to bring them outside with you? (A) sporting goods store (B) backpack (C) kitchen (D) sharp edges 
 ### ","1) sporting goods store 
 ### 1) sporting goods store 
 ### 1) sporting goods store 
In this answer, the letter ""A) sporting goods store"" is provided as the correct answer. 
 ### Which of these"
41,41,581,D,"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['file cabinet', 'nightstand', 'kitchen cabinet', 'office desk',
       'the floor'], dtype=object)}",file cabinet,nightstand,kitchen cabinet,office desk,,"### I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up? (A) file cabinet (B) nightstand (C) kitchen cabinet (D) office desk 
 ### ","1) file cabinet 
 ### 1) file cabinet 
 ### 1) file cabinet 
I would like to know which one of these options is correct 
 ### (A) file cabinet 
 ### (A)"
42,42,524,D,What is the process of going somewhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fire', 'energy', 'car', 'transporting', 'staying in place'],
      dtype=object)}",fire,energy,car,transporting,,"### What is the process of going somewhere? (A) fire (B) energy (C) car (D) transporting 
 ### ","3) C) car 
The answer is 3) C) car 
In this case, the question is asking about the process of transporting oneself somewhere, and a car is the most common mode of transportation. 
So the correct answer is 3) C) car 
In this case, the question"
43,43,785,B,Is that person acting as silly as a clown?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make mistakes', 'ridiculous', 'have no home', 'mentally unhinged',
       'schizophrenia'], dtype=object)}",make mistakes,ridiculous,have no home,mentally unhinged,,"### Is that person acting as silly as a clown? (A) make mistakes (B) ridiculous (C) have no home (D) mentally unhinged 
 ### ","2) ridiculous 
 ### 2) ridiculous 
 ### 2) ridiculous 
A person acting in a silly manner, such as a clown, is often described as being  (A) make mistakes (B) ridiculous"
44,44,1074,C,What would it be if they get a surprising show over and over?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surprise', 'fight', 'annoyance', 'might scare', 'irritated'],
      dtype=object)}",surprise,fight,annoyance,might scare,,"### What would it be if they get a surprising show over and over? (A) surprise (B) fight (C) annoyance (D) might scare 
 ### "," (A) surprise 
 ### (A) surprise 
 ### (A) surprise 
Comments are closed for this question."
45,45,89,C,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'insomnia', 'making love', 'sleeping in', 'texting'],
      dtype=object)}",rest,insomnia,making love,sleeping in,,"### Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what? (A) rest (B) insomnia (C) making love (D) sleeping in 
 ### ","5) rest 
 ### (C) making love 
 ### (C) making love 

 ### (C) making love 

 ### (C) making love 

 ### ("
46,46,458,C,What will you do if you do not want to settle in one place?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walk', 'agitate', 'wander', 'remove', 'disturb'], dtype=object)}",walk,agitate,wander,remove,,"### What will you do if you do not want to settle in one place? (A) walk (B) agitate (C) wander (D) remove 
 ### ","3) agitate 
 ### 3) agitate 
 ### 3) agitate 
A) walk 
 ### A) walk 
A) walk 
 ### A) walk 
If you do not want to settle in one place, you can  ("
47,47,81,D,A crane uses many a steel cable when working a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['abaft', 'ship', 'winch', 'construction site', 'building'],
      dtype=object)}",abaft,ship,winch,construction site,,"### A crane uses many a steel cable when working a what? (A) abaft (B) ship (C) winch (D) construction site 
 ### ","3) winch 
 ### 3) winch 
 ### 3) winch 
A) abaft 
 ### 3) winch 
A) abaft 
 ### 3) winch 
A) abaft 
 ### To answer the question,"
48,48,180,D,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'band', 'medium', 'orchestra', 'piano store'],
      dtype=object)}",music store,band,medium,orchestra,,"### He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what? (A) music store (B) band (C) medium (D) orchestra 
 ### ","7) audience 
 ### (B) band 
 ### (B) band 
 ### (B) band 
 ### (B) band 
 ### (B) band 
 ### (B) band 
 ### (B) band"
49,49,672,A,What would I be doing while going to work and walking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listen to radio', 'solve problems', 'driving', 'walk',
       'being late'], dtype=object)}",listen to radio,solve problems,driving,walk,,"### What would I be doing while going to work and walking? (A) listen to radio (B) solve problems (C) driving (D) walk 
 ### ","1) listen to radio 
 ### 1) listen to radio 
D) walk 
 ### D) walk 
 ### D) walk 
I would be walking while  (A) listen to radio (B) solve problems (C) driving (D) walk 
 ### (D"
50,50,1014,B,"The two played video games all night in the living room, he enjoyed visiting where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['formal seating', ""friend's house"", 'movies', 'home', 'apartment'],
      dtype=object)}",formal seating,friend's house,movies,home,,"### The two played video games all night in the living room, he enjoyed visiting where? (A) formal seating (B) friend's house (C) movies (D) home 
 ### ","1) formal seating 
 ### 1) formal seating 
D) home 
 ### D) home 
 ### D) home 
 ### D) home 
A) formal seating 
 ### D) home 
 ### D"
51,51,114,B,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'house', 'offices', 'park', 'movie theatre'], dtype=object)}",car,house,offices,park,,"### A man wants air conditioning while we watches the game on Saturday, where will it likely be installed? (A) car (B) house (C) offices (D) park 
 ### ","0) car 
 ### (B) house 
 ### (B) house 

 ### (B) house 

 ### (B) house 

 ### (B) house 

A man wants air conditioning in his house on Saturday,"
52,52,8,A,Reading newspaper one of many ways to practice your what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}",literacy,knowing how to read,money,buying,,"### Reading newspaper one of many ways to practice your what? (A) literacy (B) knowing how to read (C) money (D) buying 
 ### ","1) literacy 
 ### 1) literacy 
Normally, people would practice their literacy by  (A) reading books (B) reading signs (C) reading signs (D) reading books 
 ### (A) reading books 
 ### (A) reading books"
